document,document_id,source,location,doc_relation,notes,url,content,admin_url
"Moss. IV,14.2 + AIU VII.E.119 (PGPID 448)",448,"Mark Cohen, (1983).",,Edition,"Transcribed at AIU, July 1983. Transcription of the join added by Alan Elbaum (2022).",,None,https://geniza.princeton.edu/admin/footnotes/footnote/13/change/
T-S 13J7.30 (PGPID 17049),17049,"Grace Masback, (2020).",,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3645/change/
T-S 20.69 (PGPID 1796),1796,A. L. Udovitch.,"#380, pp.281-293",Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4072/change/
"Moss. VI,207 (PGPID 26988)",26988,S. Assaf.,40-41,Edition ; Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/16419/change/
"Moss. VIII,419.2 (PGPID 27189)",27189,Shmuel Glick.,322-323,Edition ; Translation ; Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/16421/change/
"Moss. VIII,420 (PGPID 27191)",27191,Shmuel Glick.,324-327,Edition ; Translation ; Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/16422/change/
ENA 2123.5 + ENA 2123.4 (PGPID 15813),15813,Shmuel Glick.,326-343,Edition ; Translation ; Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/16487/change/
"Moss. VIII,426.2 (PGPID 27192)",27192,Shmuel Glick.,353-354,Edition ; Translation ; Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/16423/change/
ENA 3361.16 (PGPID 15818),15818,Shmuel Glick.,362-369,Edition ; Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/16489/change/
"Moss. VIII,408 (PGPID 27188)",27188,Shmuel Glick.,386-391,Edition ; Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/16420/change/
"Moss. VIII,449 (PGPID 27197)",27197,Shmuel Glick.,393-397,Edition ; Discussion,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/16424/change/
T-S 12.372 (PGPID 1658),1658,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2801/change/
T-S AS 184.156 (PGPID 30830),30830,Geoffrey Khan and Marina Rustow.,,Edition,,https://docs.google.com/document/d/1xwGhs8dWPaKQ0iUnqVvrzZ3dIhJUvaNoh8PSUI5EUjc/edit,None,https://geniza.princeton.edu/admin/footnotes/footnote/5450/change/
T-S 10J12.26 (PGPID 1500),1500,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2158/change/
T-S AS 204.256 (PGPID 32076),32076,Shmuel Glick.,,Edition,"Transcription listed on FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/5452/change/
Bodl. MS heb. d 66/8 (PGPID 2553),2553,Yaara Perlman and Joshua Picard.,,Translation ; Edition,,https://docs.google.com/document/d/1l7RiztNQfQ2Oj-h2CvTE25td5luJrjb2OJu_h7lKAp8/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/417/change/
JRL Series B 4037 (PGPID 5218),5218,Arnold Franklin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1738/change/
T-S 12.379 (PGPID 1660),1660,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2809/change/
T-S 12.381 (PGPID 33699),33699,Shmuel Glick.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/2814/change/
ENA 3026.13 (PGPID 736),736,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1169/change/
ENA 2805.17 (PGPID 700),700,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1091/change/
T-S 12.281 (PGPID 1644),1644,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2725/change/
JRL Series B 3857 (PGPID 5210),5210,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1735/change/
Bodl. MS heb. d 74/46 (PGPID 596),596,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/452/change/
JRL Series A 668 (PGPID 5257),5257,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1704/change/
T-S AS 149.178 (PGPID 18965),18965,Amir Ashur.,,Edition,"Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/5379/change/
T-S AS 149.178 (PGPID 18965),18965,Amir Ashur.,,Translation ; Edition,Awaiting digitization on PGP.,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5380/change/
NLI 577.3/2 (PGPID 848),848,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2026/change/
T-S 20.71 (PGPID 1797),1797,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4074/change/
T-S 24.18 + T-S 12.634 (PGPID 1800),1800,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/4087/change/
T-S 12.634 + T-S 24.18 (PGPID 1688),1688,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2930/change/
ENA 2805.6 (PGPID 720),720,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1127/change/
JRL Series A 546 (PGPID 5253),5253,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1698/change/
T-S NS 234.50 (PGPID 30844),30844,Marina Rustow and Naïm Vanthieghem.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/5818/change/
ENA 2805.8 (PGPID 723),723,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1136/change/
ENA 2805.5.1 (PGPID 717),717,A. L. Udovitch.,,Edition,With minor emendations by Alan Elbaum (2020),,None,https://geniza.princeton.edu/admin/footnotes/footnote/1123/change/
BL OR 5552.2–2a (PGPID 30845),30845,Jennifer Grayson and Marina Rustow.,,Edition,,https://docs.google.com/document/d/1Z2KxtUDdjjUqnr_bM2ks1uiWRSSDlWWoSdzSzH4WurE/edit,None,https://geniza.princeton.edu/admin/footnotes/footnote/95/change/
T-S 20.32 (PGPID 30849),30849,"Oded Zinger, Naïm Vanthieghem and Marina Rustow.",,Edition,,https://docs.google.com/document/d/1wYN8xP0WloN1K9iaji7Dzb1yVJ1sEjjV8Vhsw6BGfoI/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/4059/change/
ENA 2805.26 (PGPID 711),711,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1116/change/
"MS 8229, fol. 1 (PGPID 11394)",11394,Amir Ashur.,,Edition,"Partial. Transcription listed in FGP, awaiting digitization on PGP",,None,https://geniza.princeton.edu/admin/footnotes/footnote/2017/change/
JRL Series B 4205 (PGPID 5224),5224,Arnold Franklin.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1749/change/
Bodl. MS heb. c 28/33 (PGPID 4419),4419,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/269/change/
p. Heid. Hebr. 27 (PGPID 26596),26596,"Werner Diem, (in German).",,Translation ; Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2046/change/
T-S Ar.34.197 (PGPID 30331),30331,Naïm Vanthieghem and Marina Rustow.,,Edition,,https://docs.google.com/document/d/17WTEcMOgPKSKJw1tOELhRp0E3bshyAfiLJaXxY8JEBk/edit?usp=sharing,None,https://geniza.princeton.edu/admin/footnotes/footnote/5107/change/
p. Heid. Hebr. 17 (PGPID 901),901,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/2044/change/
ENA 2805.21 (PGPID 705),705,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1105/change/
BL OR 5566D.3 (PGPID 5583),5583,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/137/change/
JRL Series A 337 (PGPID 5200),5200,P. Lieberman.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1695/change/
ENA 2805.18.1 (PGPID 702),702,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1093/change/
ENA 2805.18.2 (PGPID 701),701,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/1095/change/
T-S 13J19.27 (PGPID 994),994,A. L. Udovitch.,,Edition,,,None,https://geniza.princeton.edu/admin/footnotes/footnote/3219/change/
