name,name_variants,coordinates,notes,related_documents_count,related_people_count,related_events_count,url
Aden,,"12° 47′ 28″ N, 44° 59′ 7″ E",,5,3,0,https://test-geniza.cdh.princeton.edu/places/aden/
Alexandria,,"31° 12′ 16″ N, 29° 52′ 48″ E",,40,18,0,https://test-geniza.cdh.princeton.edu/places/alexandria/
al-Gharbiyya,,"30° 52′ 1″ N, 31° 1′ 40″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/al-gharbiyya/
al-Maḥalla al-Kubrā,al-Maḥalla,"30° 58′ 11″ N, 31° 9′ 36″ E",,2,1,0,https://test-geniza.cdh.princeton.edu/places/al-mahalla-al-kubra/
al-Mahdiyya,"Mahdia, Mahdiya","35° 30′ 0″ N, 11° 4′ 12″ E",,3,1,0,https://test-geniza.cdh.princeton.edu/places/al-mahdiyya/
Almeria,,"36° 30′ 0″ N, 82° 17′ 59″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/almeria/
al-Ramla,,"31° 55′ 38″ N, 34° 51′ 44″ E",,2,0,0,https://test-geniza.cdh.princeton.edu/places/al-ramla/
Ascalon,"אשקלון, عسقلان","31° 40′ 12″ N, 34° 34′ 12″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/ascalon/
Asyūṭ,,"27° 10′ 59″ N, 31° 10′ 0″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/asyut/
Aṭfīḥ,"Aphroditopolis, אתפיח, أطفيح","29° 25′ 12″ N, 31° 15′ 0″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/atfih/
ʿAydhāb,,"22° 19′ 12″ N, 36° 30′ 0″ E",,2,0,0,https://test-geniza.cdh.princeton.edu/places/aydhab/
Bāḍiʿ,,"18° 9′ 36″ N, 38° 25′ 47″ E",,1,0,0,https://test-geniza.cdh.princeton.edu/places/badi/
Baghdad,,"33° 21′ 0″ N, 44° 20′ 24″ E",,1,2,0,https://test-geniza.cdh.princeton.edu/places/baghdad/
